Point,Lat,Long
93,40.398015,-72.186990
94,40.398015,-72.109607
95,40.398015,-72.032224
96,40.398015,-71.954842
97,40.398015,-71.877459
98,40.398015,-71.800076
99,40.398015,-71.722694
100,40.461188,-73.579878
101,40.461188,-73.502496
102,40.461188,-73.425113
103,40.461188,-73.347730
104,40.461188,-73.270348
105,40.461188,-73.192965
106,40.461188,-73.115582
107,40.461188,-73.038199
108,40.461188,-72.960817
109,40.461188,-72.883434
110,40.461188,-72.806051
111,40.461188,-72.728669
112,40.461188,-72.651286
113,40.461188,-72.573903
114,40.461188,-72.496521
115,40.461188,-72.419138
116,40.461188,-72.341755
117,40.461188,-72.264372
118,40.461188,-72.186990
119,40.461188,-72.109607
120,40.461188,-72.032224
121,40.461188,-71.954842
122,40.461188,-71.877459
123,40.461188,-71.800076
124,40.461188,-71.722694
125,40.524362,-73.579878
126,40.524362,-73.502496
127,40.524362,-73.425113
128,40.524362,-73.347730
129,40.524362,-73.270348
130,40.524362,-73.192965
131,40.524362,-73.115582
132,40.524362,-73.038199
133,40.524362,-72.960817
134,40.524362,-72.883434
135,40.524362,-72.806051
136,40.524362,-72.728669
137,40.524362,-72.651286
138,40.524362,-72.573903
139,40.524362,-72.496521
140,40.524362,-72.419138
141,40.524362,-72.341755
142,40.524362,-72.264372
143,40.524362,-72.186990
144,40.524362,-72.109607
145,40.524362,-72.032224
146,40.524362,-71.954842
147,40.524362,-71.877459
148,40.524362,-71.800076
149,40.524362,-71.722694
150,40.587535,-73.579878
151,40.587535,-73.502496
152,40.587535,-73.425113
153,40.587535,-73.347730
154,40.587535,-73.270348
155,40.587535,-73.192965
156,40.587535,-73.115582
157,40.587535,-73.038199
158,40.587535,-72.960817
159,40.587535,-72.883434
160,40.587535,-72.806051
161,40.587535,-72.728669
162,40.587535,-72.651286
163,40.587535,-72.573903
164,40.587535,-72.496521
165,40.587535,-72.419138
166,40.587535,-72.341755
167,40.587535,-72.264372
168,40.587535,-72.186990
169,40.587535,-72.109607
170,40.587535,-72.032224
171,40.587535,-71.954842
172,40.587535,-71.877459
173,40.587535,-71.800076
174,40.587535,-71.722694
175,40.650708,-73.579878
176,40.650708,-73.502496
177,40.650708,-73.425113
178,40.650708,-73.347730
179,40.650708,-73.270348
180,40.650708,-73.192965
181,40.650708,-73.115582
182,40.650708,-73.038199
183,40.650708,-72.960817
184,40.650708,-72.883434
185,40.650708,-72.806051
186,40.650708,-72.728669
187,40.650708,-72.651286
188,40.650708,-72.573903
189,40.650708,-72.496521
190,40.650708,-72.419138
191,40.650708,-72.341755
192,40.650708,-72.264372
193,40.650708,-72.186990
194,40.650708,-72.109607
195,40.650708,-72.032224
196,40.650708,-71.954842
197,40.650708,-71.877459
198,40.650708,-71.800076
199,40.650708,-71.722694
200,40.713881,-73.579878
201,40.713881,-73.502496
202,40.713881,-73.425113
203,40.713881,-73.347730
204,40.713881,-73.270348
205,40.713881,-73.192965
206,40.713881,-73.115582
207,40.713881,-73.038199
208,40.713881,-72.960817
209,40.713881,-72.883434
210,40.713881,-72.806051
211,40.713881,-72.728669
212,40.713881,-72.651286
213,40.713881,-72.573903
214,40.713881,-72.496521
215,40.713881,-72.419138
216,40.713881,-72.341755
217,40.713881,-72.264372
218,40.713881,-72.186990
219,40.713881,-72.109607
220,40.713881,-72.032224
221,40.713881,-71.954842
222,40.713881,-71.877459
223,40.713881,-71.800076
224,40.713881,-71.722694
225,40.777055,-73.579878
226,40.777055,-73.502496
227,40.777055,-73.425113
228,40.777055,-73.347730
229,40.777055,-73.270348
230,40.777055,-73.192965
231,40.777055,-73.115582
232,40.777055,-73.038199
233,40.777055,-72.960817
234,40.777055,-72.883434
235,40.777055,-72.806051
236,40.777055,-72.728669
237,40.777055,-72.651286
238,40.777055,-72.573903
239,40.777055,-72.496521
240,40.777055,-72.419138
241,40.777055,-72.341755
242,40.777055,-72.264372
243,40.777055,-72.186990
244,40.777055,-72.109607
245,40.777055,-72.032224
246,40.777055,-71.954842
247,40.777055,-71.877459
248,40.777055,-71.800076
249,40.777055,-71.722694
250,40.840228,-73.579878
251,40.840228,-73.502496
252,40.840228,-73.425113
253,40.840228,-73.347730
254,40.840228,-73.270348
255,40.840228,-73.192965
256,40.840228,-73.115582
257,40.840228,-73.038199
258,40.840228,-72.960817
259,40.840228,-72.883434
260,40.840228,-72.806051
261,40.840228,-72.728669
262,40.840228,-72.651286
263,40.840228,-72.573903
264,40.840228,-72.496521
265,40.840228,-72.419138
266,40.840228,-72.341755
267,40.840228,-72.264372
268,40.840228,-72.186990
